2.74775397e+03	9.74082805e-01	1.40597008e+00	2.08295290e+01	8.33509230e+00	1.73529457e+02	1.52438033e+01	0.00000000e+00	5.83163063e-01	1	1	2
4.07575717e+03	9.81698393e-01	1.98475198e+00	2.67637120e+01	1.58507628e+01	1.31266011e+02	1.79903981e+02	-0.00000000e+00	6.50714928e-01	1	1	2
1.44549041e+04	9.85906752e-01	3.49018611e+00	1.36795904e+01	3.21953050e+01	1.70834570e+02	3.24995193e-05	0.00000000e+00	5.95221229e-01	1	1	2
2.78053964e+04	9.98996151e-01	9.85442837e-01	4.06989958e+01	3.19749054e+01	6.74163292e+01	0.00000000e+00	-3.64414274e-01	5.47186485e-01	2	1	3
3.67959556e+04	9.79421526e-01	1.94473034e+00	1.69408632e+01	4.40365437e+01	1.74599232e+02	1.79999934e+02	-4.29855696e-01	2.57579103e-01	1	2	3
3.74931765e+04	9.91950407e-01	1.87527676e+00	2.80258799e+01	5.87580132e+01	1.61845989e+02	1.79999996e+02	-7.30299804e-03	7.40375934e-01	2	3	4
5.43573223e+04	9.98978313e-01	1.88200516e+00	1.17788965e+01	1.46031470e+01	6.04265654e+01	0.00000000e+00	0.00000000e+00	6.80636125e-01	1	1	2
1.07562918e+05	9.99236148e-01	7.48514264e-01	2.12113897e+01	1.51331859e+01	9.17275840e+01	1.80000000e+02	-0.00000000e+00	6.71576998e-01	1	1	2
1.08893155e+05	9.81475835e-01	8.86459801e-01	2.91328204e+01	2.51241496e+01	4.21354573e+01	1.80000000e+02	-3.15174324e-01	5.33084040e-01	1	2	3
1.08900625e+05	9.84682307e-01	9.76245859e-01	8.39314661e+01	5.20717426e+01	1.22453153e+02	1.79926882e+02	6.60913650e-01	8.77265994e-01	4	3	5
1.09490369e+05	9.81567466e-01	1.07460594e+00	3.46419989e+01	3.20164018e+01	2.26135244e+01	1.80000000e+02	3.49014819e-01	7.92515486e-01	2	1	3
1.32982856e+05	9.83876099e-01	1.02082681e+00	1.26009942e+02	6.99398277e+01	1.42287499e+02	1.80000000e+02	3.68823695e-01	8.29688191e-01	5	3	6
