0.00000000e+00	1	2.38089433e-07	-3.51047313e-01	-5.45123466e-01	5.48540396e-02
0.00000000e+00	2	1.32055821e-07	4.32447027e-02	6.90989562e-01	-5.82779843e-02
0.00000000e+00	3	1.62670301e-07	-9.96423074e-01	3.05879125e-02	9.06948707e-02
0.00000000e+00	4	3.10900362e-07	7.25818125e-01	-4.84502956e-01	-5.67835374e-02
0.00000000e+00	5	1.73375718e-07	6.25721869e-01	-5.77211815e-01	6.30138779e-02
0.00000000e+00	6	3.04585184e-07	-5.80498149e-01	-1.86113083e-01	-3.66277109e-02
0.00000000e+00	7	1.55747410e-07	8.30815701e-01	3.47411847e-01	-6.28972083e-02
0.00000000e+00	8	8.72370951e-08	7.46040245e-01	5.05548457e-01	-8.55401932e-03
0.00000000e+00	9	2.42254932e-07	5.89225747e-01	1.39229827e-01	5.08229443e-02
0.00000000e+00	10	7.36811798e-08	-7.61662184e-01	-6.02422837e-01	-4.34803189e-02
1.00000000e-03	1	2.38089433e-07	-3.50002551e-01	-5.45794869e-01	5.48539400e-02
1.00000000e-03	2	1.32055821e-07	4.20451645e-02	6.91063599e-01	-5.82778974e-02
1.00000000e-03	3	1.62670301e-07	-9.96453308e-01	2.95868116e-02	9.06948254e-02
1.00000000e-03	4	3.10900362e-07	7.26411903e-01	-4.83612263e-01	-5.67834949e-02
1.00000000e-03	5	1.73375718e-07	6.26456245e-01	-5.76414712e-01	6.30138272e-02
1.00000000e-03	6	3.04585184e-07	-5.80105849e-01	-1.87332309e-01	-3.66276305e-02
1.00000000e-03	7	1.55747410e-07	8.30408600e-01	3.48383819e-01	-6.28971655e-02
1.00000000e-03	8	8.72370951e-08	7.45448809e-01	5.06420144e-01	-8.55401348e-03
1.00000000e-03	9	2.42254932e-07	5.88928896e-01	1.40480242e-01	5.08228310e-02
1.00000000e-03	10	7.36811798e-08	-7.61032259e-01	-6.03218419e-01	-4.34802953e-02
3.52680704e-03	1	2.38089433e-07	-3.47356989e-01	-5.47482543e-01	5.48528015e-02
3.52680704e-03	2	1.32055821e-07	3.90136130e-02	6.91241496e-01	-5.82769037e-02
3.52680704e-03	3	1.62670301e-07	-9.96525278e-01	2.70570940e-02	9.06943083e-02
3.52680704e-03	4	3.10900362e-07	7.27907421e-01	-4.81358434e-01	-5.67830094e-02
3.52680704e-03	5	1.73375718e-07	6.28307381e-01	-5.74396459e-01	6.30132478e-02
3.52680704e-03	6	3.04585184e-07	-5.79103238e-01	-1.90409377e-01	-3.66267111e-02
3.52680704e-03	7	1.55747410e-07	8.29374907e-01	3.50837690e-01	-6.28966766e-02
3.52680704e-03	8	8.72370951e-08	7.43949829e-01	5.08619645e-01	-8.55394665e-03
3.52680704e-03	9	2.42254932e-07	5.88167114e-01	1.43636994e-01	5.08215353e-02
3.52680704e-03	10	7.36811798e-08	-7.59436870e-01	-6.05225772e-01	-4.34800245e-02
9.51787484e-03	1	2.38089433e-07	-3.41052301e-01	-5.51433244e-01	5.48450250e-02
9.51787484e-03	2	1.32055821e-07	3.18229356e-02	6.91610698e-01	-5.82701156e-02
9.51787484e-03	3	1.62670301e-07	-9.96670567e-01	2.10584681e-02	9.06907754e-02
