1.51794370e+04	2.38089433e+01	3.10900362e+01	7.40739591e+01	-0.00000000e+00	6.77279206e-01	1	1	2
2.13817166e+04	5.22495547e+01	3.04585184e+01	1.34096833e+02	-4.27860735e-01	4.61787405e-01	2	1	3
2.44995887e+04	6.63451957e+00	1.22947171e+01	1.46584643e+02	0.00000000e+00	6.37331139e-01	1	1	2
2.93177616e+04	1.62670301e+01	1.85434620e+01	3.73700705e+01	0.00000000e+00	6.84559934e-01	1	1	2
3.02858523e+04	3.31305378e+01	1.55747410e+01	1.63254000e+02	4.65654634e-01	8.28361141e-01	2	1	3
3.04725205e+04	7.36811798e+00	1.60898239e+01	1.65593542e+02	0.00000000e+00	6.09499662e-01	1	1	2
3.13360544e+04	4.57460072e+01	8.72370951e+00	1.29104252e+02	-6.95693259e-01	1.06885722e-01	3	1	4
3.19183993e+04	1.32055821e+01	1.73375718e+01	7.54644219e+01	-0.00000000e+00	6.76888919e-01	1	1	2
4.90368695e+04	7.21935451e+00	1.82799875e+01	1.73946915e+02	0.00000000e+00	5.80452302e-01	1	1	2
5.17690312e+04	2.23258616e+01	1.80157117e+01	6.03123627e+01	6.21928624e-01	8.61046895e-01	2	2	3
7.18108059e+04	3.73660960e+01	2.42687438e+01	1.13047858e+02	-7.50562657e-01	3.81380756e-01	3	2	4
