1.15584350e+03	1.32055821e+01	2.42254932e+01	1.45074961e+02	0.00000000e+00	6.38875179e-01	1	1	2
2.72156718e+03	2.38089433e+01	1.73375718e+01	8.67540201e+01	0.00000000e+00	6.73355649e-01	1	1	2
2.76822900e+03	3.92122695e+01	3.10900362e+01	6.50019201e+01	-3.70210016e-01	5.47293775e-01	2	1	3
4.65677045e+03	6.76609203e+01	1.55747410e+01	1.49154501e+02	4.32788325e-01	7.49210551e-01	3	1	4
4.72401943e+03	7.96614426e+01	8.72370951e+00	6.99128387e+01	-6.37493798e-01	3.23410363e-01	4	1	5
1.11839598e+04	1.62670301e+01	7.36811798e+00	1.66492837e+02	-0.00000000e+00	6.07468580e-01	1	1	2
1.29250011e+04	2.26630689e+01	2.77990845e+01	5.75593935e+01	2.72820313e-01	7.28999693e-01	2	1	3
1.33437291e+04	8.73159589e+01	4.73773240e+01	2.86332482e+02	5.51902279e-02	6.74219317e-01	5	3	6
2.11608855e+04	6.63451957e+00	1.68380766e+01	1.74014124e+02	-0.00000000e+00	5.79972400e-01	1	1	2
3.74335276e+04	1.29071941e+02	2.25624422e+01	1.19285980e+02	6.59271958e-01	8.19394835e-01	6	2	7
5.30282750e+04	1.52216197e+01	1.45132584e+01	1.36996636e+01	0.00000000e+00	6.86581552e-01	1	1	2
5.73637433e+04	2.83007275e+01	2.09943790e+01	8.21528850e+01	3.94172136e-01	8.10537899e-01	2	1	3
6.52133367e+04	1.45338214e+02	3.04585184e+01	1.39463190e+02	6.77039184e-01	8.97518237e-01	7	1	8
6.54742973e+04	4.61469020e+01	1.94969979e+01	1.71144780e+02	-5.69798763e-01	2.90830011e-01	3	1	4
7.09442271e+04	6.37833770e+01	8.24397893e+00	8.60967682e+01	-2.57542706e-01	1.09946557e-01	4	1	5
